Movie_Script,Movie_Trope
ninjaassassin,NinjaAssassin
landofthedead,LandOfTheDead
meninblack3,MenInBlack3
perfectcreature,PerfectCreature
ghostandthedarknessthe,TheGhostAndTheDarkness
maxpayne,MaxPayne
savingprivateryan,SavingPrivateRyan
vforvendetta,VForVendetta
tristanandisolde,TristanAndIsolde
programthe,TheProgram
next,Next
jasonx,JasonX
hudsonhawk,HudsonHawk
lostinspace,LostInSpace
machinegunpreacher,MachineGunPreacher
touristthe,TheTourist
tropicthunder,TropicThunder
watchmen,Watchmen
wildwildwest,WildWildWest
commando,Commando
ghostship,GhostShip
avatar,Avatar
gladiator,Gladiator
deeprising,DeepRising
abyssthe,TheAbyss
highlander,Highlander
constantine,Constantine
darkknightrisesthe,TheDarkKnightRises
badboys,BadBoys
rushhour,RushHour
waroftheworlds,WarOfTheWorlds
starshiptroopers,StarshipTroopers
strangedays,StrangeDays
getawaythe,TheGetaway
getcarter,GetCarter
eightleggedfreaks,EightLeggedFreaks
startreknemesis,StarTrekNemesis
rocknrolla,RockNRolla
newyorkminute,NewYorkMinute
patriotthe,ThePatriot
soldier,Soldier
eagleeye,EagleEye
redplanet,RedPlanet
jurassicpark,JurassicPark
madmax2theroadwarrior,MadMax2TheRoadWarrior
lakeplacid,LakePlacid
backdraft,Backdraft
entrapment,Entrapment
bourneultimatumthe,TheBourneUltimatum
warrior,Warrior
fairgame,FairGame
ghostrider,GhostRider
wildbunchthe,TheWildBunch
crouchingtigerhiddendragon,CrouchingTigerHiddenDragon
riseoftheplanetoftheapes,RiseOfThePlanetOfTheApes
inglouriousbasterds,InglouriousBasterds
airforceone,AirForceOne
metro,Metro
cliffhanger,Cliffhanger
legion,Legion
driveangry,DriveAngry
buffythevampireslayer,BuffyTheVampireSlayer
highlanderendgame,HighlanderEndgame
feast,Feast
pearlharbor,PearlHarbor
topgun,TopGun
lastsamuraithe,TheLastSamurai
blade,Blade
platoon,Platoon
fromdusktilldawn,FromDuskTillDawn
inception,Inception
xmenoriginswolverine,XMenOriginsWolverine
matrixthe,TheMatrix
machete,Machete
reindeergames,ReindeerGames
supergirl,Supergirl
swordfish,Swordfish
xfilesfightthefuturethe,TheXFilesFightTheFuture
cradle2thegrave,Cradle2TheGrave
masterandcommander,MasterAndCommander
alienresurrection,AlienResurrection
mariachiel,ElMariachi
deepcover,DeepCover
tron,Tron
threekings,ThreeKings
escapefromnewyork,EscapeFromNewYork
crowcityofangelsthe,TheCrowCityOfAngels
huntforredoctoberthe,TheHuntForRedOctober
blackrain,BlackRain
bladeii,BladeII
xxx,XXx
abovethelaw,AboveTheLaw
naturalbornkillers,NaturalBornKillers
irobot,IRobot
drive,Drive
jurassicparkiii,JurassicParkIII
hancock,Hancock
fightclub,FightClub
heat,Heat
worldisnotenoughthe,TheWorldIsNotEnough
pandorum,Pandorum
surrogates,Surrogates
thunderbirds,Thunderbirds
alien3,Alien3
apocalypsenow,ApocalypseNow
startrekfirstcontact,StarTrekFirstContact
hanna,Hanna
pulpfiction,PulpFiction
trueromance,TrueRomance
hostage,Hostage
startrekgenerations,StarTrekGenerations
piratesofthecaribbeandeadmanschest,PiratesOfTheCaribbeanDeadMansChest
whiteout,Whiteout
bookofelithe,TheBookOfEli
enemyofthestate,EnemyOfTheState
islandthe,TheIsland
losersthe,TheLosers
colombiana,Colombiana
darkman,Darkman
wanted,Wanted
ronin,Ronin
mysterymen,MysteryMen
thor,Thor
stuntmanthe,TheStuntMan
longkissgoodnightthe,TheLongKissGoodnight
breakdown,Breakdown
scottpilgrimvstheworld,ScottPilgrimVsTheWorld
tronlegacy,TronLegacy
virtuosity,Virtuosity
indianajonesandthelastcrusade,IndianaJonesAndTheLastCrusade
aliens,Aliens
willow,Willow
terminatorsalvation,TerminatorSalvation
startrekiithewrathofkhan,StarTrekIITheWrathOfKhan
residentevil,ResidentEvil
fifthelementthe,TheFifthElement
alien,Alien
collateraldamage,CollateralDamage
tomorrowneverdies,TomorrowNeverDies
frenchconnectionthe,TheFrenchConnection
bladerunner,BladeRunner
lastboyscoutthe,TheLastBoyScout
robinhoodprinceofthieves,RobinHoodPrinceOfThieves
cellular,Cellular
mightymorphinpowerrangersthemovie,MightyMorphinPowerRangersTheMovie
meninblack,MenInBlack
ticker,Ticker
smokinaces,SmokinAces
independenceday,IndependenceDay
avengersthe2012,TheAvengers2012
bountyhunterthe,TheBountyHunter
crowsalvationthe,TheCrowSalvation
dragonslayer,Dragonslayer
bourneidentitythe,TheBourneIdentity
wildhogs,WildHogs
battlelosangeles,BattleLosAngeles
crank,Crank
minorityreport,MinorityReport
speedracer,SpeedRacer
hackers,Hackers
predator,Predator
armageddon,Armageddon
pacifierthe,ThePacifier
twins,Twins
matrixreloadedthe,TheMatrixReloaded
defiance,Defiance
looper,Looper
truelies,TrueLies
codeofsilence,CodeOfSilence
logansrun,LogansRun
braveheart,Braveheart
manonfire,ManOnFire
tombstone,Tombstone
assassins,Assassins
serenity,Serenity
reservoirdogs,ReservoirDogs
hardtokill,HardToKill
missionimpossibleii,MissionImpossibleII
bladetrinity,BladeTrinity
gamer,Gamer
snowwhiteandthehuntsman,SnowWhiteAndTheHuntsman
miamivice,MiamiVice
indianajonesandthetempleofdoom,IndianaJonesAndTheTempleOfDoom
faceoff,FaceOff
nightbreed,Nightbreed
armyofdarkness,ArmyOfDarkness
diehard2,DieHard2
postmanthe,ThePostman
hardrain,HardRain
judgedredd,JudgeDredd
fugitivethe,TheFugitive
kingkong,KingKong
batman,Batman1989
escapefroml.a.,EscapeFromLA
godzilla,Godzilla1998
kingdomthe,TheKingdom2007
rush,Rush2013
maskthe,TheMask
hellboy,Hellboy2004
conanthebarbarian,ConanTheBarbarian2011
dune,Dune
30minutesorless,ThirtyMinutesOrLess
piratesofthecaribbean,PiratesOfTheCaribbeanTheCurseOfTheBlackPearl
lordoftheringsfellowshipoftheringthe,TheLordOfTheRingsTheFellowshipOfTheRing
rambofirstbloodiithemission,RamboFirstBloodPartII
dawnofthedead,DawnOfTheDead1978
fantasticfour,FantasticFour2005
batman2,BatmanReturns
ghostbusters2,GhostbustersII
freddyvs.jason,FreddyVsJason
chroniclesofnarniathelionthewitchandthewardrobe,TheLionTheWitchAndTheWardrobe
walkingtall,WalkingTall2004
terminator2judgementday,Terminator2JudgmentDay
lordoftheringsthetwotowers,TheLordOfTheRingsTheTwoTowers
starwarstheempirestrikesback,TheEmpireStrikesBack
thelmalouise,ThelmaAndLouise
brokenarrow,BrokenArrow1996
transformersthemovie,Transformers
priest,Priest2011
saintthe,TheSaint1997
hellboy2thegoldenarmy,HellboyIITheGoldenArmy
mechanicthe,TheMechanic2011
startrek,StarTrek2009
starwarsthephantommenace,ThePhantomMenace
starwarsreturnofthejedi,ReturnOfTheJedi
missionimpossible,ReturnOfTheJedi
thingthe,TheThing1982
cryinggame,TheCryingGame
planetoftheapesthe,PlanetOfTheApes1968
evildeadiideadbydawn,EvilDead2
avengersthe,TheAvengers1998
g.i.jane,GIJane
48hrs.,FortyEightHours
g.i.joetheriseofcobra,GIJoeTheRiseOfCobra
sherlockholmes,SherlockHolmes2009
pointbreak,PointBreak1991
mummythe,TheMummy1999
terminator,TheTerminator
indianajonesandtheraidersofthelostark,RaidersOfTheLostArk
threemusketeersthe,TheThreeMusketeers1993
debtthe,TheDebt
jurassicparkthelostworld,TheLostWorldJurassicPark
alienvs.predator,AlienVsPredator
xmen,XMen1
aloneinthedark,AloneInTheDark2005
rockthe,TheRock
lordoftheringsreturnoftheking,TheLordOfTheRingsTheReturnOfTheKing
italianjobthe,TheItalianJob2003
gonein60seconds,GoneInSixtySeconds2000
clashofthetitans,ClashOfTheTitans2010
scarface,Scarface1983
siegethe,TheSiege
flashgordon,FlashGordon1980
starwarsanewhope,ANewHope
totalrecall,TotalRecall1990
crowthe,TheCrow
manintheironmask,TheManInTheIronMask
cowboysaliens,CowboysAndAliens
timemachinethe,TheTimeMachine1960
oblivion,Oblivion2013
charliesangels,CharliesAngels
starwarsattackoftheclones,AttackOfTheClones
indianajonesiv,IndianaJonesAndTheKingdomOfTheCrystalSkull
